cognome,nome,sesso,data_nascita,cod_fiscale,Via,civico,cap,telefono,email,citta,CF_Medico,
Degennaro,Alighiero,M,1937-12-19,DGNLHR90L01B752B,Via Passo Buole,45,40121,0510656060,alighiero.degennaro@gmail.com,Bologna,CRMRSL34A54F009D,
Donadeo,Cinzia,F,1971-05-21,DNDCNZ98A70I982Y,Via D.Ondine,179,40121,0510656044,cinzia.donadeo@gmail.com,Bologna,CLVSDI28P61D491Y,
Fregosi,Ancilla,F,1954-12-11,FRGNLL72S59E903G,Via Perasto,194,40121,0510656056,ancilla.fregosi@teletu.it,Bologna,CRMRSL34A54F009D,
Frolo,Anna,F,1941-05-18,FRLNNA80C69F474S,Via Nemi,104,40121,0510656047,anna.frol@gmail.it,Bologna,CLVSDI28P61D491Y,
Frongia,Cleopatra,F,1995-02-11,FRNCPT54M71I684A,Via I.Testasecca,190,40121,0510848577,cleo.fron@hotmail.com,Bologna,CLVSDI28P61D491Y,
Ghigliani,Eva,F,1984-01-22,GHGVEA75R48F006L,Via G.Cimabue,107,40121,0510656057,eva.ghig@tele2.it,Bologna,PRSNNE22L08L439N,
Ghisleri,Nicla,F,1966-05-29,GHSNCL81M65A561J,Via V.Riolo,63,40121,0510656028,nicl.ghis@libero.it,Bologna,CGNLPA09H29D675D,
Giulebbi,Penelope,F,2004-05-27,GLBPLP99A63A357D,Galleria H.dÃ¨ Touluse Lautrec,67/b,40121,0510656059,penelope.giulebbi@libero.it,Bologna,CHNLDE02H52B429N,
Giribaldo,Vespasiano,M,1954-03-28,GRBVPS90H25C376C,Via F.Reina,278,40121,0510656053,v.giribaldo@tele2.it,Bologna,PGLMNA68C10G629P,
Gromo,Iolanda,F,1959-12-05,GRMLND98E48F140Z,Via Case Nuove,47,40121,0510848573,iolanda.gromo@tiscali.it,Bologna,CGNLPA09H29D675D,
Garruti,Tancredi,M,1990-04-13,GRRTCR91B03F272C,Via S.Uguzzone,17,40121,0510656034,tancredi.garruti@tin.it,Bologna,PRSNNE22L08L439N,
Leuci,Baldovino,M,1986-08-20,LCEBDV96T21E876C,Via E.Novelli,144,40121,0510656052,baldovino.leuci@gmail.com,Bologna,CLVSDI28P61D491Y,
Alpino,Piera,F,1966-04-15,LPNPRI82S53B958F,Passaggio Coperto Lodovico il Moro,139,40121,0510848578,piera.alpino@lycos.it,Bologna,PRSTQT83D22C338N,
Luzio,Telemaco,M,1964-03-15,LZUTMC55D05A555X,Via dell'O.N.U.,193,40121,0510656054,telemaco.luzio@lycos.it,Bologna,CHLLVC92M47C950A,
Menegale,Emma,F,1939-09-10,MNGMME67L66I037A,Via M.Cimino,283,40121,0510656039,emma.menegale@gmail.com,Bologna,CHNLDE02H52B429N,
Mantineo,Elvira,F,1967-10-21,MNTLVR70P54G802R,Via L.Sanfelice,43,40121,0510848569,elvira.mantineo@tiscali.it,Bologna,CGNLPA09H29D675D,
Mauro,Marina,F,1933-10-18,MRAMRN39R55C841G,Via S.Marino,289,40121,0510656050,marina.mauro@virgilio.it,Bologna,VSCRST81S18A371R,
Amiranda,Lea,F,1963-01-24,MRNLEA80R54I503O,Via O.Antinori,296,40121,0510656040,lea.amiranda@tiscali.it,Bologna,PGLMNA68C10G629P,
Matone,Antonio,M,1967-10-01,MTNNTN97B11F641U,Via G.A.Borgese,296,40121,0510656025,anto.mato@yahoo.it,Bologna,PRSNNE22L08L439N,
Mazzocchi,Antonia,F,1984-05-31,MZZNTN60B53G140O,Via A.Merzario,260,40121,0510656036,anto.mazz@gmail.com,Bologna,PGLMNA68C10G629P,
Natalini,Valeriana,F,1951-06-13,NTLVRN60B61I332Z,Sottovia C.Belgioioso,94,40121,0510656035,valeriana.natalini@gmail.com,Bologna,CLVSDI28P61D491Y,
Novaresi,Casimira,F,1976-06-24,NVRCMR00B59A760H,Via A.Di RudinÃ¬,15/b,40121,0510656046,casimira.novaresi@yahoo.com,Bologna,CRMRSL34A54F009D,
Paganini,Torquato,M,1939-09-08,PGNTQT63D16D248P,Via A.Caretta,118/d,40121,0510656027,torquato.paganini@hotmail.com,Bologna,PNRDLF45C07H350O,
Pellizzon,Gioacchino,M,1945-11-01,PLLGCH64S27D542H,Via D.Intravaia,216,40121,0510656045,g.pellizzon@gmail.com,Bologna,VSCRST81S18A371R,
Pilon,Manfredo,M,1961-03-24,PLNMFR42B07G134S,Via Fratelli Morelli,271,40121,0510656030,manf.pilo@tiscali.it,Bologna,CRMRSL34A54F009D,
Pontigia,Vasco,M,1977-12-19,PNTVSC40D29E158C,Cavalcavia Prato Centenaro,136,40121,0510848584,vasc.pont@gmail.com,Bologna,PRSNNE22L08L439N,
Preganella,Gemma,F,2005-07-20,PRGGMM86P61L323C,Via Triboniano,188,40121,0510848586,gemm.preg@tele2.it,Bologna,PGLMNA68C10G629P,
Piroscia,Walter,M,1961-01-21,PRSWTR80B01L731F,Piazzetta F.Chopin,100,40121,0510848570,walt.piro@yahoo.com,Bologna,PGLMNA68C10G629P,
Passatori,Santina,F,1987-02-01,PSSSTN60P52B359K,Via Bacchiglione,293,40121,0510848575,sant.pass@yahoo.com,Bologna,PGLMNA68C10G629P,
Pistorello,Oddone,M,1936-01-06,PSTDDN40A12L649V,Via Erizzo,285/j,40121,0510656024,oddo.pist@tele2.it,Bologna,VSCRST81S18A371R,
Arbizzoni,Giobbe,M,1978-05-16,RBZGBB02H08G297L,Via R.Gregorio,203,40121,0510848580,giob.arbi@aruba.it,Bologna,CRMRSL34A54F009D,
Revello,Olimpio,M,1936-01-21,RVLLMP80D12C879C,Via Presanella,53,40121,0510656033,olimpio.revello@gmail.it,Bologna,CRMRSL34A54F009D,
Scandelli,Alessandro,M,1992-06-20,SCNLSN06T21G161B,Via Rimini,197/a,40121,0510656041,alessandro.scandelli@gmail.com,Bologna,VSCRST81S18A371R,
Simoncini,Gilda,F,1936-01-16,SMNGLD96E68C057N,Via F.Rivelo,32,40121,0510656048,gilda.simoncini@hotmail.com,Bologna,PGLMNA68C10G629P,
Speri,Paolo,M,1935-03-18,SPRPLA49C08D672W,Via P.Pancrazi,294,40121,0510656043,paol.sper@gmail.it,Bologna,PNRDLF45C07H350O,
Sartirana,Filiberto,M,1952-01-23,SRTFBR92A27I129J,Via E.Moneta,239,40121,0510848574,fili.sart@yahoo.com,Bologna,CGNLPA09H29D675D,
Tornesi,Tommaso,M,1974-10-03,TRNTMS97E16H446M,Via Democrito,177/h,40121,0510656037,tomm.torn@yahoo.it,Bologna,PRSNNE22L08L439N,
Voltolini,Alida,F,1984-10-04,VLTLDA73C58D401K,Via Val Vigezzo,210,40121,0510848568,alida.voltolini@yahoo.it,Bologna,CLVSDI28P61D491Y,
Varriale,Raffaele,M,1930-08-27,VRRRFL87C21M163E,Strada Consortile L.Tasca,266,40121,0510656055,raffaele.varriale@teletu.it,Bologna,CRMRSL34A54F009D,
Zili,Sofia,F,2001-10-30,ZLISFO03C65A678L,Via A.Albricci,19/e,40121,0510656049,sofia.zili@katamail.it,Bologna,CLVSDI28P61D491Y,
Bocca,Barnaba,M,1981-05-05,BCCBNB89L07F084X,Via A.Lazzarini,142,44100,0532767269,barn.bocc@virgilio.it,Ferrara,,19
Baldessarre,Manlio,M,1986-07-10,BLDMNL42T02F272J,Via Brasilia,249,44100,0532767253,manlio.baldessarre@yahoo.com,Ferrara,,15
Beltrame,Lorenzo,M,1984-07-18,BLTLNZ03D21G448C,Via M.Minghetti,167,44100,0532767140,lorenzo.beltrame@aruba.it,Ferrara,BNCCTN08R06B859V,11
Bilotto,Lapo,M,1984-10-14,BLTLPA52R24B738J,Via G.Sand detta A.L.Dupin,258,44100,0532712958,lapo.bilotto@gmail.com,Ferrara,,12
Banello,Ruggero,M,1964-04-02,BNLRGR41C07A967M,Foro Venafro,58,44100,0532714030,ruggero.banello@virgilio.it,Ferrara,,12
Benzone,Priamo,M,1998-10-09,BNZPRM74P13C051H,Via Aiaccio,113,44100,0532712969,priamo.benzone@gmail.com,Ferrara,BNCCTN08R06B859V,11
Barili,Delia,F,1985-05-26,BRLDLE55D55C156T,Via Pettirosso,135,44100,0532714037,d.barili@hotmail.com,Ferrara,BNCCTN08R06B859V,11
Bruschetti,Lamberto,M,1995-10-07,BRSLBR94S10F396C,Foro Monviso,44,44100,0532752193,lamberto.bruschetti@tele2.it,Ferrara,,16
Briscioli,Annunziata,F,1942-05-13,BRSNNZ60D56H816P,Via Stelvio,53/c,44100,0532749631,annunziata.briscioli@virgilio.it,Ferrara,,17
Buscaglioni,Silvana,F,1999-08-25,BSCSVN62T64G249Q,Via P.Bonaccorsi detto Perin del Vaga,73,44100,0532714028,silvana.buscaglioni@lycos.it,Ferrara,,14
Bosi,Emiliano,M,1990-07-09,BSOMLN84C08C290S,Via Gesu,131,44100,0532712957,emiliano.bosi@virgilio.it,Ferrara,,19
Busi,Iole,F,1936-12-25,BSULIO81B48L019Z,LocalitÃ  Dalmagia,150,44100,0532767257,iole.busi@yahoo.it,Ferrara,,14
Battista,Reginaldo,M,1963-04-12,BTTRNL70E22E655V,Via Monti Giosia,192,44100,0532749627,r.battista@gmail.com,Ferrara,,13
Bozzini,Consolata,F,1980-04-05,BZZCSL87T44F202L,Via G.Omboni,213,44100,0532767252,consolata.bozzini@gmail.it,Ferrara,,13
Cabrini,Telemaco,M,1989-01-29,CBRTMC72L08L109X,Via S.Vincenzo,222,44100,0532712926,telemaco.cabrini@yahoo.com,Ferrara,,20
Uccheddu,Modesto,M,2000-09-18,CCHMST52H27C037L,Via C.Gemelli,274,44100,0532767142,muccheddu@libero.it,Ferrara,,17
Cadorin,Fabiola,F,2001-11-29,CDRFBL69S65F813P,Via A.Martignoni,35,44100,0532714024,fabi.cado@hotmail.com,Ferrara,BNCCTN08R06B859V,11
Cadringher,Gastone,M,1967-05-20,CDRGTN97S21I787L,Via Cormano,104/a,44100,0532712944,gastone.cadringher@hotmail.com,Ferrara,,19
Cadringher,Rocco,M,1979-07-13,CDRRCC58H20L563O,Via N.Bettoni,101/c,44100,0532712939,rocco.cadringher@virgilio.it,Ferrara,,20
Ceglie,Maria,F,1966-09-15,CGLMRA91L44A225Q,Via F.Perez,188,44100,0532712960,maria.ceglie@tin.it,Ferrara,,13
Cohen,Alberta,F,1995-09-06,CHNLRT90M67E691E,Via Ogliaro,243,44100,0532711724,alberta.cohen@teletu.it,Ferrara,,19
Chiaretto,Marta,F,1994-02-28,CHRMRT06P61F420O,Via Corrado II detto Il Salico,197/h,44100,0532712924,marta.chiaretto@gmail.com,Ferrara,,17
Calchi,Ermete,M,2001-04-14,CLCRMT72L06D728Y,Bastioni G.C.Abba,227,44100,0532711761,ermete.calchi@gmail.com,Ferrara,,12
Ceola,Ersilia,F,1996-03-29,CLERSL95H58C604C,Via D.Forte,248,44100,0532712962,ersilia.ceola@katamail.it,Ferrara,,12
Calligari,Bartolomeo,M,1992-08-26,CLLBTL86D03E100M,Via C.Quinta,86/f,44100,0532714036,bartolomeo.calligari@katamail.it,Ferrara,,12
Colleoni,Alfonso,M,1984-11-13,CLLLNS67M18H541X,Via Grimani,192/d,44100,0532711721,alfonso.colleoni@libero.it,Ferrara,,16
Clarich,Massimiliano,M,1974-06-27,CLRMSM56E10L654A,Via C.Maciachini,122,44100,0532767260,mass.clar@katamail.it,Ferrara,,17
Calzolai,Magda,F,1990-02-03,CLZMGD82H51A725O,Foro Ivrea,132,44100,0532712937,magd.calz@gmail.it,Ferrara,,16
Cianci,Gustavo,M,1965-10-16,CNCGTV76S06E127H,Foro G.Vaglica,52/b,44100,0532712942,gustavo.cianci@gmail.com,Ferrara,,12
Candeloro,Modesto,M,1957-11-27,CNDMST60P14A617Z,Via R.Rigola,191,44100,0532712941,modesto.candeloro@gmail.it,Ferrara,,20
Coin,Lisa,F,1977-03-01,CNOLSI88L54G749X,Via V.Orlando,222/b,44100,0532767135,lisa.coin@tin.it,Ferrara,,12
Cappelletti,Luigia,F,1965-12-03,CPPLGU88P64B743N,Via A.Giuffra,15,44100,0532711756,luigia.cappelletti@teletu.it,Ferrara,,15
Corso,Tito,M,1948-05-17,CRSTTI59E23F745Y,Via F.ViganÃ ,218,44100,0532712964,tito.corso@aruba.it,Ferrara,,12
Carassai,Zita,F,1980-02-06,CRSZTI89C62H489O,Via E.Muzio,188,44100,0532749632,zita.carassai@aruba.it,Ferrara,,12
Cortesi,Diego,M,1968-11-04,CRTDGI97B13H086Z,Via L.Ghiberti,270,44100,0532767136,dcortesi@virgilio.it,Ferrara,,15
Cosoleto,Ovidio,M,1941-08-08,CSLVDO00A04D976W,Via S.Pio V,126/f,44100,0532712934,ovid.coso@yahoo.com,Ferrara,,17
Casarini,Vanda,F,1963-02-27,CSRVND86H54H130M,Passaggio Coperto A.Pollaiolo,171,44100,0532712922,vand.casa@tele2.it,Ferrara,,11
Cassarini,Arialdo,M,1970-12-19,CSSRLD57E03E226R,Via Case Nuove,13,44100,0532767265,arialdo.cassarini@libero.it,Ferrara,,12
Cassera,Rossella,F,1971-09-13,CSSRSL04B59E982O,Via U.Foscolo,87,44100,0532712940,ross.cass@gmail.com,Ferrara,,16
Di Felice,Panfilo,M,1933-04-01,DFLPFL91S04I273V,Via Santa Croce,257,44100,0532711760,panfilo.difelice@virgilio.it,Ferrara,,19
Degennaro,Elda,F,2004-04-19,DGNLDE59M49A789K,Via Braccio da Montone,5,44100,0532711723,elda.degennaro@gmail.com,Ferrara,,20
Del Gaudio,Sergio,M,1935-03-07,DLGSRG72B01L546X,Via Servio Tullio,263,44100,0532711750,sergio.delgaudio@tiscali.it,Ferrara,,20
De Maggio,Semplicio,M,1946-05-20,DMGSPL66L09L040Z,Via Giuseppe Verdi,90,44100,0532749629,sdemaggio@gmail.com,Ferrara,,15
De Marchi,Teodora,F,1970-09-20,DMRTDR71D58H967O,Via A.Scutieri,52,44100,0532767137,teodora.demarchi@libero.it,Ferrara,,20
Dioni,Natalia,F,1971-12-12,DNINTL02M64C742L,Sottovia G.Boeri,115,44100,0532711743,natalia.dioni@lycos.it,Ferrara,,15
Foglio,Sveva,F,1990-08-08,FGLSVV98H64D818T,Piazzetta G.Racine,168/g,44100,0532749633,svev.fogl@lycos.it,Ferrara,,13
Fantuzzi,Sofronia,F,2002-04-01,FNTSRN50P51E346A,Via A.Capecelatro,287,44100,0532749653,sofronia.fantuzzi@hotmail.com,Ferrara,,15
Fregosi,Porziano,M,1990-03-18,FRGPZN96L11E715H,Via E.Bellani,261,44100,0532711754,porziano.fregosi@aruba.it,Ferrara,,20
Fuschi,Pericle,M,1946-07-23,FSCPCL66M02I976G,Via Tortona,243,44100,0532714026,peri.fusc@gmail.com,Ferrara,,20
Gabellieri,Aurelia,F,1982-07-05,GBLRLA55C52L943N,LocalitÃ  V.Salvagnoli,236,44100,0532752191,aure.gabe@yahoo.com,Ferrara,,14
Gaboardi,Orietta,F,1946-06-01,GBRRTT57E67F816K,Via G.Pestalozzi,240,44100,0532752190,orietta.gaboardi@virgilio.it,Ferrara,,19
Giacummo,Eleonora,F,1996-01-19,GCMLNR71B64C958H,Via Giovanni da Procida,173,44100,0532767258,egiacummo@tele2.it,Ferrara,,14
Gallotti,Milo,M,1963-09-03,GLLMLI06D14G456J,Via Marmolada,140,44100,0532712963,milo.gallotti@lycos.it,Ferrara,,12
Galli,Pamela,F,1990-01-17,GLLPML44B67L402F,Via C.Del Grillo Borromeo,226,44100,0532714025,pame.gall@tin.it,Ferrara,,12
Gallottini,Siro,M,1940-01-31,GLLSRI03B01G421H,Via N.Turrisi,210,44100,0532714021,siro.gallottini@tele2.it,Ferrara,,11
Gracci,Berardo,M,1998-10-29,GRCBRD94S02E065L,Via F.M.Beltrami,169,44100,0532767266,berardo.gracci@gmail.com,Ferrara,,18
Gorgo,Giosuele,M,1942-11-04,GRGGSL53M29A716K,Via C.Porta,212,44100,0532712920,giosuele.gorgo@lycos.it,Ferrara,,13
Grignani,Amerigo,M,1957-03-24,GRGMRG00C02G249Q,Via R.Carabelli,294,44100,0532767255,amerigo.grignani@gmail.it,Ferrara,,19
Geroldi,Sabina,F,1985-01-22,GRLSBN74D53H411U,Via C.Doria,95,44100,0532712923,sabina.geroldi@tele2.it,Ferrara,,18
Gorini,Walter,M,1989-04-25,GRNWTR76E30C282F,Via Varallo,250/d,44100,0532712928,walter.gorini@gmail.com,Ferrara,,15
Garavaglia,Geltrude,F,2000-07-31,GRVGTR47D45L655H,Via Domaso,257,44100,0532749624,g.garavaglia@hotmail.com,Ferrara,,16
Gasparri,Igor,M,1934-08-13,GSPGRI80A23F061V,Via A.Orcagna,118,44100,0532712927,igor.gasparri@yahoo.com,Ferrara,,16
Lochis,Pericle,M,1959-09-15,LCHPCL47T02F503K,Via degli Ontani,127,44100,0532711753,pericle.lochis@libero.it,Ferrara,,20
Liechti,Romano,M,1961-01-06,LCHRMN58P30D814B,Via Molinetto,247/f,44100,0532714032,r.liechti@lycos.it,Ferrara,,11
Logiodice,Manfredo,M,1987-10-19,LGDMFR74T16G261X,Via A.Fanaro,54,44100,0532767261,manf.logi@gmail.com,Ferrara,,16
Legnani,Remondo,M,1996-05-15,LGNRND91A03D776M,Via Ticineto,224,44100,0532767138,remo.legn@lycos.it,Ferrara,,14
Allevi,Roberto,M,1973-08-12,LLVRRT43D09I510C,Largo Etiopia,21,44100,0532712931,robe.alle@katamail.it,Ferrara,,18
Alamanni,Gregorio,M,1959-10-26,LMNGGR91R22B711A,Via I.Umberto,298,44100,0532712930,gregorio.alamanni@tin.it,Ferrara,,20
Landi,Fabio,M,1962-09-05,LNDFBA84R18D613C,Via G.Papini,40,44100,0532712936,fabio.landi@tin.it,Ferrara,,20
Aliprandi,Emilio,M,2002-12-15,LPRMLE51L12E520N,Via Bellagio,272,44100,0532712925,emilio.aliprandi@tin.it,Ferrara,,15
Alarico,Benedetta,F,1938-05-18,LRCBDT66A70A540X,Piazzale Alceo,142,44100,0532714033,benedetta.alarico@tiscali.it,Ferrara,,14
Lorenzoni,Riccarda,F,1949-06-27,LRNRCR85S67A000L,Via G.Majali,158,44100,0532712921,riccarda.lorenzoni@tin.it,Ferrara,,20
Liso,Pacifico,M,1941-01-18,LSIPFC51D29A472G,Via I.Pindemonte,148,44100,0532714022,pacifico.liso@aruba.it,Ferrara,,20
Migliazza,Claudio,M,1955-09-27,MGLCLD50P14G639E,Via E.Ella,80,44100,0532712961,claudio.migliazza@teletu.it,Ferrara,,12
Miglio,Tristano,M,1936-02-10,MGLTST74L10E987Z,Via Orso,185,44100,0532711755,tristano.miglio@yahoo.it,Ferrara,,19
MelÃ¬,Vanda,F,1955-01-08,MLEVND90H60C800T,Via S.Maria Segreta,5,44100,0532749626,vand.mel@aruba.it,Ferrara,,18
Melini,Maria,F,1980-05-26,MLNMRA60C55I881M,Via D.Scalo,175/j,44100,0532711759,maria.melini@lycos.it,Ferrara,,20
Mongillo,Giacinta,F,1993-06-10,MNGGNT99T50E718A,Via R.Cadorna,29,44100,0532752184,giac.mong@tin.it,Ferrara,,12
Mongillo,Maffeo,M,1949-04-11,MNGMFF51M23G933Y,Via L.Frapolli,88,44100,0532711752,maffeo.mongillo@gmail.com,Ferrara,,13
Minoja,Tibaldo,M,1973-06-24,MNJTLD56L19H385C,Via M.Planck,110,44100,0532712938,tibaldo.minoja@yahoo.com,Ferrara,,19
Montani,Teresa,F,1937-10-31,MNTTRS00H68I184C,Via Fiordalisi,144,44100,0532711746,teresa.montani@hotmail.com,Ferrara,,14
Mardegan,Serafino,M,1940-09-18,MRDSFN01T09B960W,Via G.Dotto,138/h,44100,0532767254,serafino.mardegan@tin.it,Ferrara,,19
Morgante,Dalida,F,1934-08-24,MRGDLD61C71H969N,Via G.Massaia,177,44100,0532767141,dali.morg@gmail.com,Ferrara,,12
Mira,Fiammetta,F,1953-10-28,MRIFMT53L45I744P,Via Chiostri,212,44100,0532714029,fiam.mira@gmail.it,Ferrara,,14
Mursia,Claudio,M,1958-03-07,MRSCLD91R13C049S,Via Recco,64,44100,0532714035,claudio.mursia@libero.it,Ferrara,,14
Marzucco,Brigida,F,1939-02-07,MRZBGD06M54M183N,Via A.Gagini,243,44100,0532767133,brigida.marzucco@gmail.com,Ferrara,,13
Marziliano,Ciriaco,M,1970-08-13,MRZCRC80T25A166J,Via F.Scaduto,143,44100,0532712970,ciri.marz@tele2.it,Ferrara,,15
Mazzatorta,Delia,F,1995-12-17,MZZDLE88B59G116W,Via Milizie,31,44100,0532714027,delia.mazzatorta@gmail.it,Ferrara,,11
Incardona,Bice,F,1977-07-30,NCRBCI79D69F723F,Via E.Moltoni,63/b,44100,0532711725,bice.incardona@katamail.it,Ferrara,,12
Infantolino,Isidoro,M,1939-12-14,NFNSDR83M13C871H,Via Maggiolina,250/h,44100,0532711744,isidoro.infantolino@virgilio.it,Ferrara,,16
Nalti,Sara,F,1977-04-05,NLTSRA78B47G133D,Via V.Carpaccio,84,44100,0532711727,sara.nalti@tin.it,Ferrara,,19
Iannoni,Pompeo,M,2002-05-13,NNNPMP97R20C351Y,Via M.Bagni,40/a,44100,0532752192,pomp.iann@libero.it,Ferrara,,18
Pau,Dante,M,1946-08-03,PAUDNT85L15E854K,Via M.Gregorio,33,44100,0532712943,dpau@gmail.com,Ferrara,,16
Piccione,Gioia,F,1993-08-04,PCCGIO60A68G191B,Via Morigi,58,44100,0532711748,gioi.picc@gmail.com,Ferrara,,11
Peccenati,Ornella,F,1943-11-22,PCCRLL74P69B415N,Via G.Dardanoni,157,44100,0532752186,ornella.peccenati@gmail.com,Ferrara,,13
Peli,Reginaldo,M,1943-08-01,PLERNL71B18G446N,Via D.Filino,96,44100,0532767263,r.peli@virgilio.it,Ferrara,,18
Pelagatti,Piermarco,M,1938-09-22,PLGPMR98B01A945Q,Via V.Brunacci,140,44100,0532714031,piermarco.pelagatti@katamail.it,Ferrara,,12
Apollonio,Alcide,M,2001-03-05,PLLLCD72P11I741L,Via L.Pasteur,66,44100,0532712933,alcide.apollonio@gmail.com,Ferrara,,14
Peluso,Amelia,F,1938-01-14,PLSMLA75T58C545E,Via C.Cesariano,135,44100,0532711747,amelia.peluso@libero.it,Ferrara,,12
Plateroti,Germana,F,1991-02-04,PLTGMN75M48E835L,Via G.Viviano,254,44100,0532714034,germana.plateroti@tiscali.it,Ferrara,,19
Pantaleo,Elisa,F,1973-12-27,PNTLSE45T48B431R,Via Ampezzo,247,44100,0532711745,elisa.pantaleo@tiscali.it,Ferrara,,18
Pira,Marilena,F,1959-04-28,PRIMLN74C70I131J,Via Monfalcone,18,44100,0532711742,m.pira@gmail.com,Ferrara,,14
Peroncini,Ezechiele,M,1939-04-17,PRNZHL68H26C045O,Via D.Canonico,255,44100,0532752194,ezec.pero@teletu.it,Ferrara,,19
Prestigiovanni,Moreno,M,1946-03-02,PRSMRN86P05H938A,Via S.Caduti,1,44100,0532752189,moreno.prestigiovanni@hotmail.com,Ferrara,,16
Parietti,Gianpaolo,M,1957-02-09,PRTGPL55T29F162V,Alzaia G.Vitale,71,44100,0532712966,gianpaolo.parietti@teletu.it,Ferrara,,20
Parati,Liviana,F,1932-02-19,PRTLVN75T54L508F,Via C.Quinta,69,44100,0532767268,liviana.parati@tin.it,Ferrara,,15
Porto,Ancilla,F,1937-03-25,PRTNLL98P42H485K,Foro Frigia,67,44100,0532767267,ancilla.porto@teletu.it,Ferrara,,19
Perazzoli,Sandra,F,1996-10-01,PRZSDR68T67D289A,Via Costantino,44,44100,0532767262,sandra.perazzoli@virgilio.it,Ferrara,,20
Pasquale,Arabella,F,1952-06-05,PSQRLL59A66H889C,Via Appio Claudio,28/f,44100,0532711722,arabella.pasquale@yahoo.it,Ferrara,,13
Pitter,Egle,F,1937-02-14,PTTGLE63A48D670O,Viale F.Abbiati,95,44100,0532752195,egle.pitter@gmail.it,Ferrara,,19
Piazzetta,Costanza,F,1976-10-26,PZZCTN73C45E929O,Via S.Spinelli,208,44100,0532712965,costanza.piazzetta@yahoo.com,Ferrara,,15
Riccobuono,Mafalda,F,1962-08-25,RCCMLD57D44E773F,Via C.Cavour,58,44100,0532749630,mafalda.riccobuono@tin.it,Ferrara,,18
Ercoli,Costantino,M,1947-06-02,RCLCTN51B17A884H,Bastioni S.Porta,238/i,44100,0532712959,costantino.ercoli@katamail.it,Ferrara,,13
Arconati,Salomone,M,1989-02-20,RCNSMN81E02G844V,Via C.Arconati,80,44100,0532751053,salo.arco@gmail.com,Ferrara,,12
